"","V1","V2"
"1","general","0.00118895950425056"
"2","growth","0.00121147345805462"
"3","may","0.00121751882629751"
"4","economi","0.00123841416178942"
"5","countri","0.00125369323404416"
"6","bond","0.00126092811559349"
"7","profit","0.0012661641746803"
"8","price","0.00133613396356071"
"9","feder","0.00134617697672863"
"10","deal","0.00140648395659148"
"11","secur","0.00141452814729689"
"12","invest","0.00150782119913743"
"13","car","0.00150982002159995"
"14","america","0.00154923166597089"
"15","analyst","0.00157093631061888"
"16","accord","0.00157898050132428"
"17","result","0.00158621538287361"
"18","million","0.00158907241534755"
"19","fund","0.00162039096815774"
"20","quarter","0.00165899330337261"
"21","vehicl","0.00170402121098073"
"22","expect","0.00174785960528242"
"23","month","0.00175228635521316"
"24","increas","0.00184315147958548"
"25","fed","0.00184595961120407"
"26","googl","0.00187370962409494"
"27","rate","0.00188737007803753"
"28","american","0.00192678172240847"
"29","appl","0.00195210380783112"
"30","compani","0.00196752958265191"
"31","unit","0.00198228174819022"
"32","financi","0.00201845615593687"
"33","investor","0.00222070153602306"
"34","market","0.00234660045569093"
"35","tax","0.00238796202166904"
"36","stock","0.00259544346084204"
"37","last","0.00265175279577987"
"38","billion","0.00308437377299349"
"39","sale","0.00362437736099595"
"40","year","0.00399236241012668"
"41","bank","0.0058876788771589"
"42","percent","0.00760098269300683"
